Participant,Condition,Trial,Gesture,X-Val,GestureLength(ns),IdealGestureLength,Difference,ABSDifference,,Slope
28,Control,First,DoubleFlip,2,3.78E+02,1.01E+03,6.32E+02,6.32E+02,,16.3
28,Control,First,DoubleFlip,3,3.65E+02,1.01E+03,6.45E+02,6.45E+02,,16.3
28,Control,First,DoubleFlip,4,3.92E+02,1.01E+03,6.18E+02,6.18E+02,,16.3
30,Control,First,DoubleFlip,0,4.23E+02,1.01E+03,5.87E+02,5.87E+02,,107.7
30,Control,First,DoubleFlip,1,9.96E+02,1.01E+03,1.40E+01,1.40E+01,,107.7
30,Control,First,DoubleFlip,2,1.94E+02,1.01E+03,8.16E+02,8.16E+02,,107.7
30,Control,First,DoubleFlip,3,9.86E+01,1.01E+03,9.11E+02,9.11E+02,,107.7
30,Control,First,DoubleFlip,4,3.33E+02,1.01E+03,6.77E+02,6.77E+02,,107.7
32,Control,First,DoubleFlip,0,2.97E+02,1.01E+03,7.13E+02,7.13E+02,,-11.6
32,Control,First,DoubleFlip,1,4.34E+02,1.01E+03,5.76E+02,5.76E+02,,-11.6
32,Control,First,DoubleFlip,2,4.27E+02,1.01E+03,5.83E+02,5.83E+02,,-11.6
32,Control,First,DoubleFlip,3,4.68E+02,1.01E+03,5.42E+02,5.42E+02,,-11.6
32,Control,First,DoubleFlip,4,3.38E+02,1.01E+03,6.72E+02,6.72E+02,,-11.6
34,Control,First,DoubleFlip,0,4.73E+02,1.01E+03,5.37E+02,5.37E+02,,38.1
34,Control,First,DoubleFlip,1,2.64E+02,1.01E+03,7.46E+02,7.46E+02,,38.1
34,Control,First,DoubleFlip,2,2.26E+02,1.01E+03,7.84E+02,7.84E+02,,38.1
34,Control,First,DoubleFlip,3,2.49E+02,1.01E+03,7.61E+02,7.61E+02,,38.1
34,Control,First,DoubleFlip,4,2.90E+02,1.01E+03,7.20E+02,7.20E+02,,38.1
36,Control,First,DoubleFlip,0,1.04E+02,1.01E+03,9.06E+02,9.06E+02,,-152.4
36,Control,First,DoubleFlip,1,6.08E+01,1.01E+03,9.49E+02,9.49E+02,,-152.4
36,Control,First,DoubleFlip,2,7.33E+01,1.01E+03,9.37E+02,9.37E+02,,-152.4
36,Control,First,DoubleFlip,3,1.21E+03,1.01E+03,-2.03E+02,2.03E+02,,-152.4
36,Control,First,DoubleFlip,4,1.53E+03,1.01E+03,-5.17E+02,5.17E+02,,-152.4
38,Control,First,DoubleFlip,0,3.99E+02,1.01E+03,6.11E+02,6.11E+02,,12.84
38,Control,First,DoubleFlip,1,1.10E+03,1.01E+03,-8.66E+01,8.66E+01,,12.84
38,Control,First,DoubleFlip,2,5.32E+02,1.01E+03,4.78E+02,4.78E+02,,12.84
38,Control,First,DoubleFlip,3,5.43E+02,1.01E+03,4.67E+02,4.67E+02,,12.84
38,Control,First,DoubleFlip,4,5.25E+02,1.01E+03,4.85E+02,4.85E+02,,12.84
40,Control,First,DoubleFlip,0,2.75E+02,1.01E+03,7.35E+02,7.35E+02,,44.2
40,Control,First,DoubleFlip,1,2.69E+02,1.01E+03,7.41E+02,7.41E+02,,44.2
40,Control,First,DoubleFlip,2,1.45E+02,1.01E+03,8.65E+02,8.65E+02,,44.2
40,Control,First,DoubleFlip,3,1.29E+02,1.01E+03,8.81E+02,8.81E+02,,44.2
40,Control,First,DoubleFlip,4,1.24E+02,1.01E+03,8.86E+02,8.86E+02,,44.2
42,Control,First,DoubleFlip,0,6.97E+02,1.01E+03,3.13E+02,3.13E+02,,64.1
42,Control,First,DoubleFlip,1,6.36E+02,1.01E+03,3.74E+02,3.74E+02,,64.1
42,Control,First,DoubleFlip,2,4.98E+02,1.01E+03,5.12E+02,5.12E+02,,64.1
42,Control,First,DoubleFlip,3,4.79E+02,1.01E+03,5.31E+02,5.31E+02,,64.1
42,Control,First,DoubleFlip,4,4.55E+02,1.01E+03,5.55E+02,5.55E+02,,64.1
45,Control,First,DoubleFlip,0,3.92E+02,1.01E+03,6.18E+02,6.18E+02,,-28
45,Control,First,DoubleFlip,1,4.83E+02,1.01E+03,5.27E+02,5.27E+02,,-28
45,Control,First,DoubleFlip,2,4.86E+02,1.01E+03,5.24E+02,5.24E+02,,-28
45,Control,First,DoubleFlip,3,4.69E+02,1.01E+03,5.41E+02,5.41E+02,,-28
45,Control,First,DoubleFlip,4,5.39E+02,1.01E+03,4.71E+02,4.71E+02,,-28
47,Control,First,DoubleFlip,0,8.47E+01,1.01E+03,9.25E+02,9.25E+02,,122.7
47,Control,First,DoubleFlip,1,4.77E+02,1.01E+03,5.33E+02,5.33E+02,,122.7
47,Control,First,DoubleFlip,2,2.05E+02,1.01E+03,8.05E+02,8.05E+02,,122.7
47,Control,First,DoubleFlip,3,3.80E+02,1.01E+03,6.30E+02,6.30E+02,,122.7
47,Control,First,DoubleFlip,4,2.50E+03,1.01E+03,-1.49E+03,1.49E+03,,122.7
7,Glissando,First,DoubleFlip,0,3.79E+02,1.01E+03,6.31E+02,6.31E+02,,-17.6
7,Glissando,First,DoubleFlip,1,3.00E+02,1.01E+03,7.10E+02,7.10E+02,,-17.6
7,Glissando,First,DoubleFlip,2,5.15E+02,1.01E+03,4.95E+02,4.95E+02,,-17.6
7,Glissando,First,DoubleFlip,3,3.96E+02,1.01E+03,6.14E+02,6.14E+02,,-17.6
7,Glissando,First,DoubleFlip,4,4.19E+02,1.01E+03,5.91E+02,5.91E+02,,-17.6
9,Glissando,First,DoubleFlip,0,5.36E+02,1.01E+03,4.74E+02,4.74E+02,,30.6
9,Glissando,First,DoubleFlip,1,5.31E+02,1.01E+03,4.79E+02,4.79E+02,,30.6
9,Glissando,First,DoubleFlip,2,4.27E+02,1.01E+03,5.83E+02,5.83E+02,,30.6
9,Glissando,First,DoubleFlip,3,3.91E+02,1.01E+03,6.19E+02,6.19E+02,,30.6
9,Glissando,First,DoubleFlip,4,4.53E+02,1.01E+03,5.57E+02,5.57E+02,,30.6
11,Glissando,First,DoubleFlip,0,4.50E+02,1.01E+03,5.60E+02,5.60E+02,,-25.5
11,Glissando,First,DoubleFlip,1,3.60E+02,1.01E+03,6.50E+02,6.50E+02,,-25.5
11,Glissando,First,DoubleFlip,2,4.02E+02,1.01E+03,6.08E+02,6.08E+02,,-25.5
11,Glissando,First,DoubleFlip,3,4.27E+02,1.01E+03,5.83E+02,5.83E+02,,-25.5
11,Glissando,First,DoubleFlip,4,5.44E+02,1.01E+03,4.66E+02,4.66E+02,,-25.5
13,Glissando,First,DoubleFlip,0,6.56E+02,1.01E+03,3.54E+02,3.54E+02,,-74.4
13,Glissando,First,DoubleFlip,1,4.21E+02,1.01E+03,5.89E+02,5.89E+02,,-74.4
13,Glissando,First,DoubleFlip,2,6.16E+02,1.01E+03,3.94E+02,3.94E+02,,-74.4
13,Glissando,First,DoubleFlip,3,7.75E+02,1.01E+03,2.35E+02,2.35E+02,,-74.4
13,Glissando,First,DoubleFlip,4,8.51E+02,1.01E+03,1.59E+02,1.59E+02,,-74.4
15,Glissando,First,DoubleFlip,0,5.08E+02,1.01E+03,5.02E+02,5.02E+02,,45.5
15,Glissando,First,DoubleFlip,1,4.18E+02,1.01E+03,5.92E+02,5.92E+02,,45.5
15,Glissando,First,DoubleFlip,2,4.33E+02,1.01E+03,5.77E+02,5.77E+02,,45.5
15,Glissando,First,DoubleFlip,3,3.09E+02,1.01E+03,7.01E+02,7.01E+02,,45.5
15,Glissando,First,DoubleFlip,4,3.35E+02,1.01E+03,6.75E+02,6.75E+02,,45.5
17,Glissando,First,DoubleFlip,0,4.10E+02,1.01E+03,6.00E+02,6.00E+02,,-23.3
17,Glissando,First,DoubleFlip,1,5.01E+02,1.01E+03,5.09E+02,5.09E+02,,-23.3
17,Glissando,First,DoubleFlip,2,5.45E+02,1.01E+03,4.65E+02,4.65E+02,,-23.3
17,Glissando,First,DoubleFlip,3,5.46E+02,1.01E+03,4.64E+02,4.64E+02,,-23.3
17,Glissando,First,DoubleFlip,4,5.04E+02,1.01E+03,5.06E+02,5.06E+02,,-23.3
19,Glissando,First,DoubleFlip,0,4.95E+02,1.01E+03,5.15E+02,5.15E+02,,-26.3
19,Glissando,First,DoubleFlip,1,5.92E+02,1.01E+03,4.18E+02,4.18E+02,,-26.3
19,Glissando,First,DoubleFlip,2,5.22E+02,1.01E+03,4.88E+02,4.88E+02,,-26.3
19,Glissando,First,DoubleFlip,3,5.81E+02,1.01E+03,4.29E+02,4.29E+02,,-26.3
19,Glissando,First,DoubleFlip,4,6.32E+02,1.01E+03,3.78E+02,3.78E+02,,-26.3
21,Glissando,First,DoubleFlip,0,5.07E+02,1.01E+03,5.03E+02,5.03E+02,,-10.8
21,Glissando,First,DoubleFlip,1,5.55E+02,1.01E+03,4.55E+02,4.55E+02,,-10.8
21,Glissando,First,DoubleFlip,2,5.39E+02,1.01E+03,4.71E+02,4.71E+02,,-10.8
21,Glissando,First,DoubleFlip,3,5.39E+02,1.01E+03,4.71E+02,4.71E+02,,-10.8
21,Glissando,First,DoubleFlip,4,5.69E+02,1.01E+03,4.41E+02,4.41E+02,,-10.8
23,Glissando,First,DoubleFlip,0,5.52E+02,1.01E+03,4.58E+02,4.58E+02,,19.923
23,Glissando,First,DoubleFlip,1,1.00E+03,1.01E+03,5.77E+00,5.77E+00,,19.923
23,Glissando,First,DoubleFlip,2,7.25E+02,1.01E+03,2.85E+02,2.85E+02,,19.923
23,Glissando,First,DoubleFlip,3,6.67E+02,1.01E+03,3.43E+02,3.43E+02,,19.923
23,Glissando,First,DoubleFlip,4,6.21E+02,1.01E+03,3.89E+02,3.89E+02,,19.923
25,Glissando,First,DoubleFlip,0,3.52E+03,1.01E+03,-2.51E+03,2.51E+03,,-450.9
25,Glissando,First,DoubleFlip,1,7.03E+02,1.01E+03,3.07E+02,3.07E+02,,-450.9
25,Glissando,First,DoubleFlip,2,7.25E+02,1.01E+03,2.85E+02,2.85E+02,,-450.9
25,Glissando,First,DoubleFlip,3,6.22E+02,1.01E+03,3.88E+02,3.88E+02,,-450.9
25,Glissando,First,DoubleFlip,4,7.95E+02,1.01E+03,2.15E+02,2.15E+02,,-450.9
29,Glissando,First,DoubleFlip,0,6.18E+02,1.01E+03,3.92E+02,3.92E+02,,-2.1
29,Glissando,First,DoubleFlip,1,5.25E+02,1.01E+03,4.85E+02,4.85E+02,,-2.1
29,Glissando,First,DoubleFlip,2,5.97E+02,1.01E+03,4.13E+02,4.13E+02,,-2.1
29,Glissando,First,DoubleFlip,3,6.52E+02,1.01E+03,3.58E+02,3.58E+02,,-2.1
29,Glissando,First,DoubleFlip,4,5.65E+02,1.01E+03,4.45E+02,4.45E+02,,-2.1
31,Glissando,First,DoubleFlip,0,5.95E+02,1.01E+03,4.15E+02,4.15E+02,,-16.8
31,Glissando,First,DoubleFlip,1,9.07E+02,1.01E+03,1.03E+02,1.03E+02,,-16.8
31,Glissando,First,DoubleFlip,2,8.42E+02,1.01E+03,1.68E+02,1.68E+02,,-16.8
31,Glissando,First,DoubleFlip,3,7.91E+02,1.01E+03,2.19E+02,2.19E+02,,-16.8
31,Glissando,First,DoubleFlip,4,7.37E+02,1.01E+03,2.73E+02,2.73E+02,,-16.8
33,Glissando,First,DoubleFlip,0,5.95E+02,1.01E+03,4.15E+02,4.15E+02,,-59.4
33,Glissando,First,DoubleFlip,1,6.98E+02,1.01E+03,3.12E+02,3.12E+02,,-59.4
33,Glissando,First,DoubleFlip,2,7.87E+02,1.01E+03,2.23E+02,2.23E+02,,-59.4
33,Glissando,First,DoubleFlip,3,8.52E+02,1.01E+03,1.58E+02,1.58E+02,,-59.4
33,Glissando,First,DoubleFlip,4,8.15E+02,1.01E+03,1.95E+02,1.95E+02,,-59.4
35,Glissando,First,DoubleFlip,0,1.81E+03,1.01E+03,-8.03E+02,8.03E+02,,-92.1
35,Glissando,First,DoubleFlip,1,4.41E+02,1.01E+03,5.69E+02,5.69E+02,,-92.1
35,Glissando,First,DoubleFlip,2,3.14E+02,1.01E+03,6.96E+02,6.96E+02,,-92.1
35,Glissando,First,DoubleFlip,3,7.06E+02,1.01E+03,3.04E+02,3.04E+02,,-92.1
35,Glissando,First,DoubleFlip,4,5.35E+02,1.01E+03,4.75E+02,4.75E+02,,-92.1
37,Glissando,First,DoubleFlip,0,3.53E+02,1.01E+03,6.57E+02,6.57E+02,,33.9
37,Glissando,First,DoubleFlip,1,1.10E+02,1.01E+03,9.00E+02,9.00E+02,,33.9
37,Glissando,First,DoubleFlip,2,4.25E+02,1.01E+03,5.85E+02,5.85E+02,,33.9
37,Glissando,First,DoubleFlip,3,2.61E+02,1.01E+03,7.49E+02,7.49E+02,,33.9
37,Glissando,First,DoubleFlip,4,1.08E+02,1.01E+03,9.02E+02,9.02E+02,,33.9
39,Glissando,First,DoubleFlip,0,1.10E+03,1.01E+03,-8.70E+01,8.70E+01,,128.1
39,Glissando,First,DoubleFlip,1,3.98E+02,1.01E+03,6.12E+02,6.12E+02,,128.1
39,Glissando,First,DoubleFlip,2,1.07E+03,1.01E+03,-5.70E+01,5.70E+01,,128.1
39,Glissando,First,DoubleFlip,3,1.50E+03,1.01E+03,-4.91E+02,4.91E+02,,128.1
39,Glissando,First,DoubleFlip,4,2.22E+02,1.01E+03,7.88E+02,7.88E+02,,128.1
43,Glissando,First,DoubleFlip,0,7.46E+02,1.01E+03,2.64E+02,2.64E+02,,-24.62
43,Glissando,First,DoubleFlip,1,7.72E+02,1.01E+03,2.38E+02,2.38E+02,,-24.62
43,Glissando,First,DoubleFlip,2,5.89E+02,1.01E+03,4.21E+02,4.21E+02,,-24.62
43,Glissando,First,DoubleFlip,3,5.73E+02,1.01E+03,4.37E+02,4.37E+02,,-24.62
43,Glissando,First,DoubleFlip,4,9.69E+02,1.01E+03,4.14E+01,4.14E+01,,-24.62
46,Glissando,First,DoubleFlip,0,3.46E+02,1.01E+03,6.64E+02,6.64E+02,,56.7
46,Glissando,First,DoubleFlip,1,1.10E+02,1.01E+03,9.00E+02,9.00E+02,,56.7
46,Glissando,First,DoubleFlip,2,1.08E+02,1.01E+03,9.02E+02,9.02E+02,,56.7
46,Glissando,First,DoubleFlip,3,7.75E+01,1.01E+03,9.33E+02,9.33E+02,,56.7
46,Glissando,First,DoubleFlip,4,7.86E+01,1.01E+03,9.31E+02,9.31E+02,,56.7
27,Glissando,First,DoubleFlip,0,5.55E+02,1.00E+03,4.49E+02,4.49E+02,,11.1
27,Glissando,First,DoubleFlip,1,5.00E+02,1.00E+03,5.04E+02,5.04E+02,,11.1
27,Glissando,First,DoubleFlip,2,4.63E+02,1.00E+03,5.41E+02,5.41E+02,,11.1
27,Glissando,First,DoubleFlip,3,5.85E+02,1.00E+03,4.19E+02,4.19E+02,,11.1
27,Glissando,First,DoubleFlip,4,4.57E+02,1.00E+03,5.47E+02,5.47E+02,,11.1
48,Glissando,First,DoubleFlip,0,9.08E+02,1.00E+03,9.60E+01,9.60E+01,,26.3
48,Glissando,First,DoubleFlip,1,7.89E+02,1.00E+03,2.15E+02,2.15E+02,,26.3
48,Glissando,First,DoubleFlip,2,7.52E+02,1.00E+03,2.52E+02,2.52E+02,,26.3
48,Glissando,First,DoubleFlip,3,6.88E+02,1.00E+03,3.16E+02,3.16E+02,,26.3
48,Glissando,First,DoubleFlip,4,8.27E+02,1.00E+03,1.77E+02,1.77E+02,,26.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
